Input1,Input2,Input3,Output
-50.0,-20.0,-10.0,4.049367755044521e-05
-49.97999799979998,-20.0,-9.993999399939995,4.0784239579347925e-05
-49.95999599959996,-20.0,-9.987998799879987,4.1076817099780616e-05
-49.93999399939994,-20.0,-9.981998199819982,4.13714235777972e-05
-49.91999199919992,-20.0,-9.975997599759976,4.16680725657165e-05
-49.8999899989999,-20.0,-9.969996999699969,4.19667777026499e-05
-49.879987998799876,-20.0,-9.963996399639964,4.226755271503076e-05
-49.85998599859986,-20.0,-9.957995799579958,4.257041141714664e-05
-49.83998399839984,-20.0,-9.951995199519953,4.2875367711676624e-05
-49.81998199819982,-20.0,-9.945994599459945,4.318243559022882e-05
-49.7999799979998,-20.0,-9.93999399939994,4.3491629133883276e-05
-49.77997799779978,-20.0,-9.933993399339935,4.3802962513737256e-05
-49.75997599759976,-20.0,-9.927992799279927,4.411644999145343e-05
-49.73997399739974,-20.0,-9.921992199219922,4.443210591981135e-05
-49.71997199719972,-20.0,-9.915991599159916,4.474994474326208e-05
-49.6999699969997,-20.0,-9.90999099909991,4.5069980998486496e-05
-49.67996799679968,-20.0,-9.903990399039904,4.5392229314956e-05
-49.65996599659966,-20.0,-9.897989798979898,4.571670441549717e-05
-49.63996399639964,-20.0,-9.891989198919893,4.6043421116859116e-05
-49.61996199619962,-20.0,-9.885988598859885,4.6372394330284716e-05
-49.5999599959996,-20.0,-9.87998799879988,4.6703639062083535e-05
-49.57995799579958,-20.0,-9.873987398739875,4.7037170414210836e-05
-49.55995599559956,-20.0,-9.867986798679867,4.737300358484763e-05
-49.53995399539954,-20.0,-9.861986198619862,4.771115386898453e-05
-49.51995199519952,-20.0,-9.855985598559856,4.805163665900928e-05
-49.4999499949995,-20.0,-9.849984998499849,4.8394467445297664e-05
-49.47994799479948,-20.0,-9.843984398439844,4.873966181680762e-05
-49.45994599459946,-20.0,-9.837983798379838,4.9087235461676794e-05
-49.43994399439944,-20.0,-9.831983198319833,4.9437204167823443e-05
-49.41994199419942,-20.0,-9.825982598259825,4.978958382355124e-05
-49.399939993999396,-20.0,-9.81998199819982,5.014439041815658e-05
-49.37993799379938,-20.0,-9.813981398139815,5.050164004254028e-05
-49.35993599359936,-20.0,-9.807980798079807,5.086134888982275e-05
-49.33993399339934,-20.0,-9.801980198019802,5.122353325596151e-05
-49.31993199319932,-20.0,-9.795979597959796,5.158820954037411e-05
-49.2999299929993,-20.0,-9.78997899789979,5.1955394246562574e-05
-49.27992799279928,-20.0,-9.783978397839784,5.232510398274324e-05
-49.25992599259926,-20.0,-9.777977797779778,5.2697355462479344e-05
-49.23992399239924,-20.0,-9.771977197719773,5.307216550531644e-05
-49.21992199219922,-20.0,-9.765976597659765,5.344955103742319e-05
-49.1999199919992,-20.0,-9.75997599759976,5.382952909223422e-05
-49.17991799179918,-20.0,-9.753975397539755,5.42121168110981e-05
-49.15991599159916,-20.0,-9.747974797479747,5.4597331443927025e-05
-49.13991399139914,-20.0,-9.741974197419742,5.498519034985256e-05
-49.11991199119912,-20.0,-9.735973597359736,5.537571099788291e-05
-49.0999099909991,-20.0,-9.729972997299729,5.576891096756552e-05
-49.07990799079908,-20.0,-9.723972397239724,5.616480794965306e-05
-49.05990599059906,-20.0,-9.717971797179718,5.656341974677245e-05
-49.03990399039904,-20.0,-9.711971197119713,5.6964764274098685e-05
-49.01990199019902,-20.0,-9.705970597059705,5.736885956003161e-05
-48.999899989999,-20.0,-9.6999699969997,5.777572374687752e-05
-48.97989798979898,-20.0,-9.693969396939695,5.818537509153375e-05
-48.95989598959896,-20.0,-9.687968796879687,5.859783196617739e-05
-48.93989398939894,-20.0,-9.681968196819682,5.901311285895854e-05
-48.919891989198916,-20.0,-9.675967596759676,5.94312363746962e-05
-48.8998899889989,-20.0,-9.66996699669967,5.9852221235579256e-05
-48.87988798879888,-20.0,-9.663966396639664,6.027608628187147e-05
-48.85988598859886,-20.0,-9.657965796579658,6.0702850472619e-05
-48.83988398839884,-20.0,-9.651965196519653,6.11325328863638e-05
-48.81988198819882,-20.0,-9.645964596459645,6.156515272185994e-05
