Input1,Input2,Output,normalisedKPI,normalised_threshold
-36.63366336633663,60.0,118.8390591059039,1.1627073558267202,0.29840885459300387
-36.61366136613661,60.0,118.83352848106487,1.1625660956709845,0.29840885459300387
-36.59365936593659,60.0,118.82798490786317,1.162424504795342,0.29840885459300387
-36.57365736573657,60.0,118.822428388135,1.1622825832466932,0.29840885459300387
-36.55365536553655,60.0,118.81685892372072,1.1621403310720428,0.29840885459300387
-36.533653365336534,60.0,118.81127651646497,1.161997748318506,0.29840885459300387
-36.51365136513651,60.0,118.8056811682166,1.1618548350333044,0.29840885459300387
-36.49364936493649,60.0,118.80007288082868,1.161711591263769,0.29840885459300387
-36.47364736473647,60.0,118.79445165615853,1.1615680170573377,0.29840885459300387
-36.45364536453645,60.0,118.78881749606765,1.1614241124615565,0.29840885459300387
-36.43364336433643,60.0,118.78317040242183,1.1612798775240798,0.29840885459300387
-36.41364136413641,60.0,118.77751037709103,1.1611353122926695,0.29840885459300387
-36.39363936393639,60.0,118.77183742194946,1.1609904168151952,0.29840885459300387
-36.37363736373637,60.0,118.76615153887553,1.1608451911396347,0.29840885459300387
-36.35363536353635,60.0,118.7604527297519,1.1606996353140737,0.29840885459300387
-36.33363336333633,60.0,118.75474099646542,1.1605537493867046,0.29840885459300387
-36.31363136313631,60.0,118.74901634090716,1.160407533405829,0.29840885459300387
-36.293629362936294,60.0,118.74327876497243,1.1602609874198553,0.29840885459300387
-36.27362736273627,60.0,118.73752827056073,1.1601141114772993,0.29840885459300387
-36.25362536253625,60.0,118.73176485957579,1.1599669056267854,0.29840885459300387
-36.23362336233623,60.0,118.72598853392559,1.1598193699170458,0.29840885459300387
-36.21362136213621,60.0,118.72019929552222,1.1596715043969184,0.29840885459300387
-36.19361936193619,60.0,118.7143971462821,1.159523309115351,0.29840885459300387
-36.17361736173617,60.0,118.70858208812578,1.1593747841213977,0.29840885459300387
-36.15361536153615,60.0,118.70275412297805,1.15922592946422,0.29840885459300387
-36.13361336133613,60.0,118.69691325276791,1.1590767451930877,0.29840885459300387
-36.11361136113611,60.0,118.69105947942857,1.1589272313573773,0.29840885459300387
-36.09360936093609,60.0,118.68519280489743,1.1587773880065728,0.29840885459300387
-36.07360736073607,60.0,118.6793132311161,1.1586272151902663,0.29840885459300387
-36.053605360536054,60.0,118.67342076003041,1.1584767129581568,0.29840885459300387
-36.03360336033603,60.0,118.66751539359039,1.158325881360051,0.29840885459300387
-36.01360136013601,60.0,118.66159713375023,1.1581747204458614,0.29840885459300387
-35.993599359935985,60.0,118.65566598246842,1.1580232302656108,0.29840885459300387
-35.973597359735976,60.0,118.64972194170753,1.1578714108694264,0.29840885459300387
-35.95359535953595,60.0,118.6437650134344,1.1577192623075439,0.29840885459300387
-35.93359335933593,60.0,118.63779519962009,1.1575667846303068,0.29840885459300387
-35.91359135913591,60.0,118.63181250223975,1.1574139778881638,0.29840885459300387
-35.893589358935884,60.0,118.62581692327286,1.1572608421316732,0.29840885459300387
-35.873587358735875,60.0,118.61980846470301,1.157107377411499,0.29840885459300387
-35.85358535853585,60.0,118.613787128518,1.1569535837784124,0.29840885459300387
-35.83358335833583,60.0,118.60775291670981,1.1567994612832915,0.29840885459300387
-35.81358135813581,60.0,118.60170583127467,1.1566450099771228,0.29840885459300387
-35.79357935793578,60.0,118.59564587421293,1.1564902299109985,0.29840885459300387
-35.773577357735775,60.0,118.58957304752917,1.156335121136118,0.29840885459300387
-35.75357535753575,60.0,118.58348735323214,1.1561796837037879,0.29840885459300387
-35.73357335733573,60.0,118.57738879333479,1.1560239176654217,0.29840885459300387
-35.713571357135706,60.0,118.57127736985423,1.1558678230725394,0.29840885459300387
-35.6935693569357,60.0,118.5651530848118,1.155711399976769,0.29840885459300387
-35.673567356735674,60.0,118.55901594023298,1.1555546484298445,0.29840885459300387
-35.65356535653565,60.0,118.55286593814745,1.155397568483606,0.29840885459300387
-35.63356335633563,60.0,118.54670308058908,1.1552401601900024,0.29840885459300387
-35.613561356135605,60.0,118.5405273695959,1.1550824236010875,0.29840885459300387
-35.5935593559356,60.0,118.53433880721016,1.1549243587690232,0.29840885459300387
-35.57355735573557,60.0,118.52813739547823,1.1547659657460767,0.29840885459300387
-35.55355535553555,60.0,118.52192313645068,1.1546072445846232,0.29840885459300387
-35.53355335533553,60.0,118.51569603218228,1.1544481953371437,0.29840885459300387
-35.513551355135505,60.0,118.50945608473195,1.1542888180562265,0.29840885459300387
-35.493549354935496,60.0,118.5032032961628,1.154129112794566,0.29840885459300387
-35.47354735473547,60.0,118.49693766854209,1.1539690796049635,0.29840885459300387
-35.45354535453545,60.0,118.49065920394125,1.153808718540326,0.29840885459300387
-35.43354335433543,60.0,118.48436790443593,1.1536480296536686,0.29840885459300387
-35.413541354135404,60.0,118.47806377210588,1.1534870129981114,0.29840885459300387
-35.393539353935395,60.0,118.47174680903507,1.1533256686268816,0.29840885459300387
-35.37353735373537,60.0,118.46541701731161,1.1531639965933127,0.29840885459300387
-35.35353535353535,60.0,118.45907439902777,1.1530019969508445,0.29840885459300387
-35.333533353335326,60.0,118.45271895628001,1.1528396697530232,0.29840885459300387
-35.3135313531353,60.0,118.44635069116896,1.1526770150535024,0.29840885459300387
-35.293529352935295,60.0,118.43996960579935,1.1525140329060397,0.29840885459300387
-35.27352735273527,60.0,118.43357570228014,1.152350723364501,0.29840885459300387
-35.25352535253525,60.0,118.42716898272441,1.1521870864828574,0.29840885459300387
-35.233523352335226,60.0,118.42074944924941,1.1520231223151867,0.29840885459300387
-35.21352135213522,60.0,118.41431710397656,1.1518588309156728,0.29840885459300387
-35.193519351935194,60.0,118.40787194903143,1.151694212338606,0.29840885459300387
-35.17351735173517,60.0,118.40141398654372,1.1515292666383816,0.29840885459300387
-35.15351535153515,60.0,118.39494321864731,1.1513639938695026,0.29840885459300387
-35.133513351335125,60.0,118.38845964748025,1.1511983940865773,0.29840885459300387
-35.11351135113512,60.0,118.38196327518467,1.1510324673443193,0.29840885459300387
-35.09350935093509,60.0,118.37545410390695,1.1508662136975494,0.29840885459300387
-35.07350735073507,60.0,118.36893213579752,1.1506996332011938,0.29840885459300387
-35.05350535053505,60.0,118.36239737301104,1.1505327259102847,0.29840885459300387
-35.033503350335025,60.0,118.35584981770627,1.1503654918799608,0.29840885459300387
