Input1,Input2,Input3,Output
-50.0,-20.0,-10.0,0.004807835687154129
-49.97999799979998,-20.0,-9.993999399939995,0.004836042696754287
-49.95999599959996,-20.0,-9.987998799879987,0.004864406971081226
-49.93999399939994,-20.0,-9.981998199819982,0.00489292933634977
-49.91999199919992,-20.0,-9.975997599759976,0.004921610622815869
-49.8999899989999,-20.0,-9.969996999699969,0.00495045166479479
-49.879987998799876,-20.0,-9.963996399639964,0.004979453300679085
-49.85998599859986,-20.0,-9.957995799579958,0.005008616372956917
-49.83998399839984,-20.0,-9.951995199519953,0.005037941728230334
-49.81998199819982,-20.0,-9.945994599459945,0.005067430217233552
-49.7999799979998,-20.0,-9.93999399939994,0.005097082694851441
-49.77997799779978,-20.0,-9.933993399339935,0.005126900020138002
-49.75997599759976,-20.0,-9.927992799279927,0.005156883056334943
-49.73997399739974,-20.0,-9.921992199219922,0.0051870326708903175
-49.71997199719972,-20.0,-9.915991599159916,0.0052173497354772586
-49.6999699969997,-20.0,-9.90999099909991,0.005247835126012723
-49.67996799679968,-20.0,-9.903990399039904,0.0052784897226763995
-49.65996599659966,-20.0,-9.897989798979898,0.005309314409929694
-49.63996399639964,-20.0,-9.891989198919893,0.0053403100765345895
-49.61996199619962,-20.0,-9.885988598859885,0.005371477615572936
-49.5999599959996,-20.0,-9.87998799879988,0.005402817924465381
-49.57995799579958,-20.0,-9.873987398739875,0.0054343319049908224
-49.55995599559956,-20.0,-9.867986798679867,0.005466020463305648
-49.53995399539954,-20.0,-9.861986198619862,0.0054978845099630325
-49.51995199519952,-20.0,-9.855985598559856,0.005529924959932528
-49.4999499949995,-20.0,-9.849984998499849,0.005562142732619542
-49.47994799479948,-20.0,-9.843984398439844,0.005594538751884967
-49.45994599459946,-20.0,-9.837983798379838,0.005627113946064885
-49.43994399439944,-20.0,-9.831983198319833,0.005659869247990282
-49.41994199419942,-20.0,-9.825982598259825,0.005692805595007
-49.399939993999396,-20.0,-9.81998199819982,0.005725923928995572
-49.37993799379938,-20.0,-9.813981398139815,0.005759225196391221
-49.35993599359936,-20.0,-9.807980798079807,0.00579271034820404
-49.33993399339934,-20.0,-9.801980198019802,0.005826380340039019
-49.31993199319932,-20.0,-9.795979597959796,0.005860236132116365
-49.2999299929993,-20.0,-9.78997899789979,0.005894278689291791
-49.27992799279928,-20.0,-9.783978397839784,0.005928508981076915
-49.25992599259926,-20.0,-9.777977797779778,0.005962927981659726
-49.23992399239924,-20.0,-9.771977197719773,0.005997536669925152
-49.21992199219922,-20.0,-9.765976597659765,0.006032336029475653
-49.1999199919992,-20.0,-9.75997599759976,0.006067327048651939
-49.17991799179918,-20.0,-9.753975397539755,0.006102510720553872
-49.15991599159916,-20.0,-9.747974797479747,0.006137888043061127
-49.13991399139914,-20.0,-9.741974197419742,0.006173460018854355
-49.11991199119912,-20.0,-9.735973597359736,0.006209227655436058
-49.0999099909991,-20.0,-9.729972997299729,0.006245191965151787
-49.07990799079908,-20.0,-9.723972397239724,0.006281353965211313
-49.05990599059906,-20.0,-9.717971797179718,0.006317714677709903
-49.03990399039904,-20.0,-9.711971197119713,0.006354275129649687
