Input1,Input2,Input3,Input4,Output1,Output2,normalisedKPI_1,normalisedKPI_2,normalised_threshold_1,normalised_threshold_2
-22.677267726772676,-20.0,-1.803180318031803,-1.803180318031803,2.936865096738523,0.14608945607002408,-0.5345414856568496,-0.6091725034766181,1.372534185984296,1.0814299669333853
-22.657265726572657,-20.0,-1.7971797179717974,-1.7971797179717974,2.9472821981478536,0.14679837035724083,-0.5342658079376742,-0.6091574949161466,1.372534185984296,1.0814299669333853
-22.637263726372638,-20.0,-1.791179117911792,-1.791179117911792,2.957731249591093,0.1475104753820236,-0.5339892846941895,-0.6091424188039576,1.372534185984296,1.0814299669333853
-22.617261726172615,-20.0,-1.7851785178517865,-1.7851785178517865,2.96821232895382,0.14822578420910568,-0.5337119138652348,-0.6091272748634551,1.372534185984296,1.0814299669333853
-22.597259725972595,-20.0,-1.7791779177917793,-1.7791779177917793,2.9787255142349576,0.1489443099502985,-0.5334336933866497,-0.6091120628170463,1.372534185984296,1.0814299669333853
-22.577257725772576,-20.0,-1.7731773177317738,-1.7731773177317738,2.9892708835466717,0.1496660657646323,-0.5331546211912778,-0.6090967823861391,1.372534185984296,1.0814299669333853
-22.557255725572556,-20.0,-1.7671767176717683,-1.7671767176717683,2.9998485151142393,0.1503910648584953,-0.5328746952089685,-0.6090814332911382,1.372534185984296,1.0814299669333853
-22.537253725372537,-20.0,-1.761176117611761,-1.761176117611761,3.0104584872759057,0.15111932048577295,-0.5325939133665817,-0.6090660152514432,1.372534185984296,1.0814299669333853
-22.517251725172517,-20.0,-1.7551755175517556,-1.7551755175517556,3.0211008784827698,0.15185084594798892,-0.532312273587991,-0.609050527985445,1.372534185984296,1.0814299669333853
-22.497249724972495,-20.0,-1.7491749174917501,-1.7491749174917501,3.031775767298646,0.15258565459444692,-0.5320297737940872,-0.609034971210523,1.372534185984296,1.0814299669333853
-22.477247724772475,-20.0,-1.743174317431743,-1.743174317431743,3.042483232399922,0.15332375982236832,-0.5317464119027818,-0.6090193446430419,1.372534185984296,1.0814299669333853
-22.457245724572456,-20.0,-1.7371737173717374,-1.7371737173717374,3.053223352575437,0.15406517507703615,-0.5314621858290102,-0.6090036479983489,1.372534185984296,1.0814299669333853
-22.437243724372436,-20.0,-1.731173117311732,-1.731173117311732,3.0639962067263324,0.15480991385193454,-0.5311770934847361,-0.6089878809907713,1.372534185984296,1.0814299669333853
-22.417241724172417,-20.0,-1.7251725172517265,-1.7251725172517265,3.074801873865927,0.15555798968889245,-0.5308911327789545,-0.6089720433336121,1.372534185984296,1.0814299669333853
-22.397239723972397,-20.0,-1.7191719171917192,-1.7191719171917192,3.0856404331195755,0.1563094161782231,-0.5306043016176953,-0.6089561347391482,1.372534185984296,1.0814299669333853
-22.377237723772375,-20.0,-1.7131713171317138,-1.7131713171317138,3.0965119637245118,0.15706420695886797,-0.530316597904028,-0.6089401549186272,1.372534185984296,1.0814299669333853
