Input1,Input2,Output
-99.2999299929993,-9.78997899789979,3.654319275733697e-21
-99.27992799279929,-9.783978397839784,3.5027186070454464e-21
-99.25992599259926,-9.777977797779778,3.3571738821903325e-21
-99.23992399239924,-9.771977197719773,3.2174527532726925e-21
-99.21992199219922,-9.765976597659765,3.0833314090347418e-21
-99.1999199919992,-9.75997599759976,2.954594275548166e-21
-99.17991799179919,-9.753975397539755,2.8310337268781848e-21
-99.15991599159916,-9.747974797479747,2.71244980540812e-21
-99.13991399139914,-9.741974197419742,2.598649951517092e-21
-99.11991199119912,-9.735973597359736,2.4894487423161947e-21
-99.0999099909991,-9.729972997299729,2.3846676391560847e-21
-99.07990799079909,-9.723972397239724,2.2841347436271175e-21
-99.05990599059906,-9.717971797179718,2.1876845617815472e-21
-99.03990399039904,-9.711971197119713,2.0951577763163496e-21
-99.01990199019902,-9.705970597059705,2.0064010264616944e-21
-98.999899989999,-9.6999699969997,1.9212666953290946e-21
-98.97989798979899,-9.693969396939695,1.839612704479263e-21
-98.95989598959896,-9.687968796879687,1.761302315478225e-21
-98.93989398939894,-9.681968196819682,1.686203938216687e-21
-98.91989198919892,-9.675967596759676,1.6141909457739106e-21
-98.8998899889989,-9.66996699669967,1.545141495615356e-21
-98.87988798879888,-9.663966396639664,1.4789383569183384e-21
-98.85988598859886,-9.657965796579658,1.4154687438273102e-21
-98.83988398839884,-9.651965196519653,1.354624154445274e-21
-98.81988198819882,-9.645964596459645,1.2963002153753223e-21
-98.79987998799879,-9.63996399639964,1.2403965316306083e-21
-98.77987798779878,-9.633963396339634,1.1868165417370741e-21
-98.75987598759876,-9.627962796279627,1.1354673778591611e-21
-98.73987398739874,-9.621962196219622,1.0862597307832303e-21
-98.71987198719872,-9.615961596159616,1.0391077195989395e-21
-98.6998699869987,-9.609960996099609,9.939287659237997e-22
-98.67986798679868,-9.603960396039604,9.506434725209059e-22
-98.65986598659866,-9.597959795979598,9.091755061639297e-22
-98.63986398639864,-9.591959195919593,8.694514846092765e-22
-98.61986198619861,-9.585958595859585,8.314008675383784e-22
-98.5998599859986,-9.57995799579958,7.949558513381834e-22
-98.57985798579858,-9.573957395739574,7.600512675916504e-22
-98.55985598559856,-9.567956795679567,7.266244851543284e-22
-98.53985398539854,-9.561956195619562,6.946153156969822e-22
-98.51985198519851,-9.555955595559556,6.639659225977686e-22
-98.4998499849985,-9.54995499549955,6.346207330714475e-22
-98.47984798479848,-9.543954395439544,6.065263534265843e-22
-98.45984598459846,-9.537953795379538,5.7963148734500645e-22
-98.43984398439844,-9.531953195319533,5.538868570814785e-22
-98.41984198419841,-9.525952595259525,5.292451274843695e-22
-98.3998399839984,-9.51995199519952,5.0566083274184645e-22
-98.37983798379838,-9.513951395139514,4.830903057604433e-22
-98.35983598359836,-9.507950795079507,4.614916100865922e-22
-98.33983398339834,-9.501950195019502,4.408244742840406e-22
-98.31983198319833,-9.495949594959496,4.210502286831485e-22
-98.2998299829983,-9.489948994899489,4.0213174442073337e-22
-98.27982798279828,-9.483948394839484,3.8403337469167313e-22
-98.25982598259826,-9.477947794779478,3.6672089813612215e-22
-98.23982398239824,-9.471947194719473,3.501614642886937e-22
-98.21982198219823,-9.465946594659465,3.3432354101824685e-22
-98.1998199819982,-9.45994599459946,3.1917686388940227e-22
-98.17981798179818,-9.453945394539454,3.0469238737890653e-22
-98.15981598159816,-9.447944794479447,2.908422378825652e-22
-98.13981398139813,-9.441944194419442,2.7759966845015398e-22
-98.11981198119813,-9.435943594359436,2.6493901518800263e-22
-98.0998099809981,-9.42994299429943,2.528356552709844e-22
-98.07980798079808,-9.423942394239424,2.412659665073298e-22
-98.05980598059806,-9.417941794179418,2.302072884018842e-22
-98.03980398039803,-9.411941194119413,2.1963788466488173e-22
-98.01980198019803,-9.405940594059405,2.095369071153887e-22
-97.999799979998,-9.3999399939994,1.9988436093008707e-22
-97.97979797979798,-9.393939393939394,1.9066107118964893e-22
-97.95979597959796,-9.387938793879387,1.8184865067683612e-22
-97.93979397939793,-9.381938193819382,1.734294688816696e-22
-97.91979197919792,-9.375937593759376,1.6538662217072308e-22
-97.8997899789979,-9.369936993699369,1.5770390507898126e-22
-97.87978797879788,-9.363936393639364,1.5036578268410037e-22
-97.85978597859786,-9.357935793579358,1.4335736402423853e-22
-97.83978397839783,-9.351935193519353,1.3666437652205637e-22
-97.81978197819782,-9.345934593459345,1.3027314137858646e-22
-97.7997799779978,-9.33993399339934,1.2417054990207208e-22
-97.77977797779778,-9.333933393339334,1.1834404073792306e-22
-97.75977597759776,-9.327932793279327,1.1278157796721974e-22
-97.73977397739775,-9.321932193219322,1.0747163004223273e-22
-97.71977197719772,-9.315931593159316,1.0240314952853025e-22
-97.6997699769977,-9.30993099309931,9.756555362427718e-23
-97.67976797679768,-9.303930393039304,9.29487054283879e-23
-97.65976597659765,-9.297929792979298,8.854289593014769e-23
-97.63976397639765,-9.291929192919293,8.433882669379962e-23
-97.61976197619762,-9.285928592859285,8.032759321268182e-23
-97.5997599759976,-9.27992799279928,7.650066890818037e-23
-97.57975797579758,-9.273927392739274,7.284988974977793e-23
-97.55975597559755,-9.267926792679267,6.936743947324328e-23
-97.53975397539755,-9.261926192619262,6.604583537481344e-23
-97.51975197519752,-9.255925592559256,6.287791466000006e-23
-97.4997499749975,-9.249924992499249,5.985682132640902e-23
-97.47974797479748,-9.243924392439244,5.697599356069416e-23
-97.45974597459745,-9.237923792379238,5.42291516304314e-23
-97.43974397439744,-9.231923192319233,5.161028625243695e-23
-97.41974197419742,-9.225922592259225,4.9113647419655784e-23
-97.3997399739974,-9.21992199219922,4.673373366940532e-23
-97.37973797379738,-9.213921392139214,4.446528177637375e-23
-97.35973597359737,-9.207920792079207,4.230325685435347e-23
-97.33973397339734,-9.201920192019202,4.024284285128345e-23
-97.31973197319732,-9.195919591959196,3.827943342268494e-23
-97.2997299729973,-9.18991899189919,3.640862316916289e-23
-97.27972797279728,-9.183918391839184,3.462619922412913e-23
-97.25972597259727,-9.177917791779178,3.292813317840269e-23
-97.23972397239724,-9.171917191719173,3.1310573328832393e-23
-97.21972197219722,-9.165916591659165,2.9769837238555494e-23
-97.1997199719972,-9.15991599159916,2.830240459695328e-23
-97.17971797179717,-9.153915391539154,2.690491036778118e-23
-97.15971597159717,-9.147914791479147,2.557413821440434e-23
-97.13971397139714,-9.141914191419142,2.4307014191446396e-23
-97.11971197119712,-9.135913591359136,2.310060069255187e-23
-97.0997099709971,-9.129912991299129,2.1952090644363444e-23
-97.07970797079707,-9.123912391239124,2.0858801937152738e-23
-97.05970597059707,-9.117911791179118,1.9818172082905433e-23
-97.03970397039704,-9.111911191119113,1.8827753092008112e-23
-97.01970197019702,-9.105910591059105,1.7885206559997174e-23
-96.999699969997,-9.0999099909991,1.6988298956162942e-23
-96.97969796979697,-9.093909390939094,1.6134897106086954e-23
