Input1,Input2,Input3,Output,normalisedKPI,normalised_threshold
135.02350235023502,60.0,88.01880188018802,-0.15077314546368073,0.9341184508038699,-1.0767049023109352
135.04850485048505,60.0,88.03880388038806,-0.15040028426131552,0.9341486230912242,-1.0767049023109352
135.07350735073507,60.0,88.05880588058807,-0.15002826073495812,0.9341787275930297,-1.0767049023109352
135.0985098509851,60.0,88.07880788078808,-0.14965707323066227,0.9342087644431254,-1.0767049023109352
135.12351235123512,60.0,88.09880988098811,-0.14928672009716373,0.934238733775133,-1.0767049023109352
135.14851485148515,60.0,88.11881188118812,-0.14891719968587852,0.9342686357224577,-1.0767049023109352
135.17351735173517,60.0,88.13881388138816,-0.14854851035089775,0.9342984704182882,-1.0767049023109352
135.1985198519852,60.0,88.15881588158817,-0.14818065044898757,0.9343282379955961,-1.0767049023109352
135.22352235223522,60.0,88.17881788178818,-0.14781361833958334,0.9343579385871378,-1.0767049023109352
135.24852485248525,60.0,88.19881988198821,-0.1474474123847886,0.9343875723254532,-1.0767049023109352
135.27352735273527,60.0,88.21882188218822,-0.14708203094937208,0.9344171393428672,-1.0767049023109352
135.2985298529853,60.0,88.23882388238826,-0.14671747240076333,0.9344466397714887,-1.0767049023109352
135.32353235323532,60.0,88.25882588258827,-0.14635373510905172,0.9344760737432115,-1.0767049023109352
135.34853485348535,60.0,88.27882788278828,-0.1459908174469818,0.9345054413897149,-1.0767049023109352
135.37353735373537,60.0,88.29882988298831,-0.1456287177899515,0.9345347428424633,-1.0767049023109352
135.3985398539854,60.0,88.31883188318832,-0.14526743451600888,0.9345639782327064,-1.0767049023109352
135.42354235423542,60.0,88.33883388338836,-0.14490696600584901,0.9345931476914803,-1.0767049023109352
135.44854485448545,60.0,88.35883588358837,-0.14454731064281132,0.9346222513496061,-1.0767049023109352
135.47354735473547,60.0,88.37883788378838,-0.14418846681287623,0.9346512893376925,-1.0767049023109352
135.4985498549855,60.0,88.39883988398842,-0.1438304329046629,0.9346802617861335,-1.0767049023109352
135.52355235523552,60.0,88.41884188418842,-0.14347320730942598,0.9347091688251105,-1.0767049023109352
135.54855485548555,60.0,88.43884388438846,-0.14311678842105185,0.9347380105845917,-1.0767049023109352
135.57355735573557,60.0,88.45884588458847,-0.1427611746360575,0.9347667871943327,-1.0767049023109352
135.5985598559856,60.0,88.47884788478848,-0.1424063643535864,0.934795498783876,-1.0767049023109352
135.62356235623562,60.0,88.49884988498852,-0.14205235597540483,0.9348241454825525,-1.0767049023109352
135.64856485648565,60.0,88.51885188518852,-0.1416991479059011,0.9348527274194806,-1.0767049023109352
135.67356735673567,60.0,88.53885388538856,-0.14134673855208055,0.9348812447235668,-1.0767049023109352
135.6985698569857,60.0,88.55885588558857,-0.14099512632356398,0.9349096975235063,-1.0767049023109352
135.72357235723572,60.0,88.57885788578858,-0.1406443096325839,0.9349380859477825,-1.0767049023109352
135.74857485748575,60.0,88.59885988598862,-0.14029428689398168,0.9349664101246683,-1.0767049023109352
135.77357735773577,60.0,88.61886188618863,-0.13994505652520545,0.9349946701822253,-1.0767049023109352
135.79857985798577,60.0,88.63886388638863,-0.1395966169463066,0.935022866248304,-1.0767049023109352
135.8235823582358,60.0,88.65886588658867,-0.13924896657993552,0.9350509984505455,-1.0767049023109352
135.84858485848582,60.0,88.67886788678868,-0.1389021038513418,0.9350790669163801,-1.0767049023109352
135.87358735873585,60.0,88.69886988698872,-0.138556027188368,0.9351070717730281,-1.0767049023109352
135.89858985898587,60.0,88.71887188718873,-0.1382107350214494,0.9351350131475004,-1.0767049023109352
135.9235923592359,60.0,88.73887388738873,-0.1378662257836092,0.935162891166598,-1.0767049023109352
135.94859485948592,60.0,88.75887588758877,-0.13752249791045565,0.9351907059569133,-1.0767049023109352
135.97359735973595,60.0,88.77887788778878,-0.1371795498401813,0.9352184576448289,-1.0767049023109352
135.99859985998597,60.0,88.79887988798882,-0.1368373800135567,0.9352461463565195,-1.0767049023109352
136.023602360236,60.0,88.81888188818883,-0.13649598687393108,0.9352737722179505,-1.0767049023109352
136.04860486048602,60.0,88.83888388838884,-0.1361553688672263,0.9353013353548796,-1.0767049023109352
136.07360736073605,60.0,88.85888588858887,-0.135815524441935,0.9353288358928562,-1.0767049023109352
136.09860986098607,60.0,88.87888788878888,-0.13547645204911965,0.9353562739572217,-1.0767049023109352
136.1236123612361,60.0,88.89888988898892,-0.13513815014240593,0.9353836496731104,-1.0767049023109352
136.14861486148612,60.0,88.91889188918893,-0.13480061717798325,0.9354109631654488,-1.0767049023109352
136.17361736173615,60.0,88.93889388938894,-0.13446385161459903,0.9354382145589566,-1.0767049023109352
136.19861986198617,60.0,88.95889588958897,-0.13412785191355786,0.9354654039781466,-1.0767049023109352
136.2236223622362,60.0,88.97889788978898,-0.13379261653871766,0.9354925315473246,-1.0767049023109352
136.24862486248622,60.0,88.99889988998902,-0.1334581439564865,0.9355195973905907,-1.0767049023109352
136.27362736273625,60.0,89.01890189018903,-0.13312443263582086,0.9355466016318382,-1.0767049023109352
136.29862986298627,60.0,89.03890389038904,-0.13279148104822117,0.9355735443947548,-1.0767049023109352
136.3236323632363,60.0,89.05890589058907,-0.13245928766772921,0.9356004258028225,-1.0767049023109352
136.34863486348632,60.0,89.07890789078908,-0.13212785097092677,0.9356272459793178,-1.0767049023109352
136.37363736373635,60.0,89.09890989098912,-0.13179716943693043,0.9356540050473119,-1.0767049023109352
136.39863986398638,60.0,89.11891189118913,-0.1314672415473905,0.9356807031296713,-1.0767049023109352
136.4236423642364,60.0,89.13891389138914,-0.13113806578648682,0.9357073403490577,-1.0767049023109352
136.44864486448643,60.0,89.15891589158917,-0.13080964064092634,0.935733916827928,-1.0767049023109352
136.47364736473645,60.0,89.17891789178918,-0.13048196459994033,0.9357604326885351,-1.0767049023109352
136.49864986498648,60.0,89.19891989198922,-0.1301550361552813,0.935786888052928,-1.0767049023109352
136.5236523652365,60.0,89.21892189218923,-0.1298288538012204,0.9358132830429516,-1.0767049023109352
136.54865486548653,60.0,89.23892389238924,-0.12950341603454354,0.9358396177802475,-1.0767049023109352
136.57365736573655,60.0,89.25892589258928,-0.12917872135454914,0.9358658923862538,-1.0767049023109352
136.59865986598658,60.0,89.27892789278928,-0.12885476826304582,0.9358921069822057,-1.0767049023109352
